symbol,gene_id,treatment_splicing_P,treatment_over_time_splicing_P
mRpL47,FBgn0014023,0.86590523,0.328898806
CG3631,FBgn0038268,0.562642322,0.32910024
Pi3K68D,FBgn0015278,0.118266706,0.32924514
His3.3B,FBgn0004828,0.024892761,0.32997936
CG9150,FBgn0031775,0.043248281,0.330044807
pinta,FBgn0038966,0.160516984,0.33046977
CG10600,FBgn0032717,0.165510097,0.331276779
Ggt-1,FBgn0030932,0.611844726,0.331399252
Claspin,FBgn0052251,0.04877342,0.331928683
CG14798,FBgn0029588,0.018828566,0.331969339
Ran,FBgn0020255,0.037528832,0.332203793
Idgf1,FBgn0020416,0.037528832,0.332203793
Pcyt2,FBgn0035231,0.037528832,0.332203793
POLDIP2,FBgn0037329,0.037528832,0.332203793
CG1236,FBgn0037370,0.037528832,0.332203793
CG34136,FBgn0083972,0.037528832,0.332203793
Trs23,FBgn0260861,0.037528832,0.332203793
CG44242,FBgn0265177,0.037528832,0.332203793
dpr9,FBgn0038282,0.922315145,0.332262362
trv,FBgn0085391,0.79749261,0.332449009
CG14184,FBgn0036932,0.457572848,0.33248851
CG42675,FBgn0261561,0.669605117,0.332804897
CG43795,FBgn0264339,0.51365105,0.332990038
CG32850,FBgn0052850,0.067486579,0.333373177
CG10508,FBgn0037060,0.893655132,0.333501693
PK1-R,FBgn0038201,0.291570018,0.333872654
CG9760,FBgn0036259,0.149488801,0.334964686
bip2,FBgn0026262,0.041150898,0.335100978
atms,FBgn0010750,0.232038215,0.335251627
Nmda1,FBgn0013305,0.353604468,0.335254323
CG11000,FBgn0263353,0.353604468,0.335254323
Ac76E,FBgn0004852,0.9920945,0.335463408
alph,FBgn0086361,0.038650148,0.335899004
CG14763,FBgn0033243,0.57953926,0.335972768
CG3700,FBgn0034796,0.362356549,0.33602889
CG2246,FBgn0039790,0.833670646,0.336064126
CycD,FBgn0010315,0.087149472,0.336070193
CG32373,FBgn0052373,0.156123842,0.336114436
yps,FBgn0022959,0.388719807,0.336166621
Cpsf73,FBgn0261065,0.894614477,0.336244616
Pvr,FBgn0032006,0.238137503,0.336283373
CG42663,FBgn0261545,0.761070775,0.336325923
Lim3,FBgn0002023,0.764971334,0.336419838
Spat,FBgn0014031,0.104771971,0.336426781
CG6293,FBgn0037807,0.509879638,0.336427751
CG8461,FBgn0038235,0.063990084,0.336837049
CG13743,FBgn0033368,0.105528873,0.336874145
CG13606,FBgn0039161,0.116377216,0.33696215
Cda9,FBgn0034197,0.244378323,0.337034418
RpL7A,FBgn0014026,0.965746287,0.337048735
dpr7,FBgn0053481,0.100437579,0.337385591
CG5447,FBgn0039427,0.012447409,0.337444873
CG6201,FBgn0032343,0.017302769,0.337726609
ninaD,FBgn0002939,0.042555687,0.338257715
drl,FBgn0015380,0.907071695,0.338470864
Cyp4c3,FBgn0015032,0.068395336,0.338713388
poe,FBgn0011230,0.021239881,0.338738067
Cdk9,FBgn0019949,0.037664645,0.338945918
dpr6,FBgn0040823,0.928807252,0.339050698
CG6891,FBgn0030955,0.554157006,0.339054842
stc,FBgn0001978,0.937747995,0.339125387
Set,FBgn0014879,0.058179181,0.339304039
SelG,FBgn0030350,0.132031585,0.33952325
Alg-2,FBgn0086378,0.01685376,0.339861167
CG15203,FBgn0030261,0.749951425,0.339944087
cac,FBgn0263111,0.778659392,0.340330565
Ac3,FBgn0023416,0.992056999,0.340473442
CG34347,FBgn0085376,0.266635134,0.340661025
CG10424,FBgn0036848,0.889455193,0.3406762
CG2841,FBgn0003159,0.123951611,0.340770189
CdsA,FBgn0010350,0.085484054,0.340908745
CG11837,FBgn0039627,0.572692018,0.340913326
CG10026,FBgn0032785,0.852680153,0.340925247
CG1847,FBgn0030345,0.777514797,0.341036613
NAAT1,FBgn0029762,0.132700278,0.341059998
CanA1,FBgn0010015,0.150946181,0.341333996
Rheb,FBgn0041191,0.054489778,0.341389245
RfC3,FBgn0032244,0.904990067,0.341571803
CG8079,FBgn0034002,0.117201313,0.341635483
CG8319,FBgn0037722,0.772099563,0.341846431
Prosbeta7,FBgn0250746,0.245665133,0.342482906
EMC3,FBgn0032292,0.358039607,0.342602991
CG8641,FBgn0035733,0.348163993,0.342798185
CIA30,FBgn0039689,0.24022206,0.342885644
Sec24CD,FBgn0262126,0.680981624,0.342940951
Acn,FBgn0263198,0.884133557,0.342985537
CG14647,FBgn0037244,0.993385659,0.343444753
CG34384,FBgn0085413,0.105790898,0.343560461
CG13408,FBgn0038929,0.97076704,0.343611837
Madm,FBgn0027497,0.286744414,0.343737959
CG10366,FBgn0032814,0.476065985,0.343762936
Dyrk2,FBgn0016930,0.188024271,0.343825336
CG18540,FBgn0034326,0.594101633,0.343866087
robo1,FBgn0005631,0.673225428,0.344202589
CG31523,FBgn0051523,0.795793957,0.344261113
CstF50,FBgn0039867,0.064721758,0.34433568
CG1492,FBgn0030361,6.66684E-05,0.344362094
CG6163,FBgn0036155,0.80408967,0.344465732
CG8924,FBgn0030710,0.23501493,0.344600146
CG1126,FBgn0037280,0.030972931,0.344762545
CG13795,FBgn0031937,0.588424544,0.344851544
KCNQ,FBgn0033494,0.986943839,0.345404237
List,FBgn0034381,0.576730066,0.345421187
CG31108,FBgn0051108,0.642245207,0.34551508
Drp1,FBgn0026479,0.596825401,0.345697846
CG2658,FBgn0024992,0.501079051,0.345761838
CG30156,FBgn0050156,0.268990914,0.345788597
CG9799,FBgn0038146,0.935978975,0.346088075
l(2)k14505,FBgn0021856,0.817221823,0.346299538
fws,FBgn0024689,0.000427644,0.346508562
CG9541,FBgn0032083,0.300666634,0.346775861
ergic53,FBgn0035909,0.39076861,0.346978221
Taf2,FBgn0011836,0.118691854,0.347016307
Rm62,FBgn0003261,0.915626985,0.347214026
Smyd3,FBgn0011566,0.365662452,0.347353316
CG9593,FBgn0038365,0.54386715,0.347526956
CG1789,FBgn0030063,0.214468117,0.347584637
CG11406,FBgn0034990,0.309484982,0.347596805
CG12099,FBgn0035232,0.222108089,0.347697743
yki,FBgn0034970,0.248370834,0.347833376
Spx,FBgn0015818,0.678330015,0.348021742
CG1941,FBgn0033214,0.436793266,0.348057876
Nmnat,FBgn0039254,0.175029336,0.348856156
obst-A,FBgn0031097,0.273052916,0.348886626
RpL31,FBgn0285949,0.340127168,0.349172214
PGAP5,FBgn0031997,0.378008973,0.34919953
CalpA,FBgn0012051,0.686899525,0.349253858
CG9662,FBgn0031529,0.909174593,0.349274127
CG12950,FBgn0037736,0.91049741,0.349281667
AQP,FBgn0033807,0.769523257,0.349327163
CG3744,FBgn0039240,0.082024702,0.349439075
cbc,FBgn0033842,0.198280248,0.350070993
Zip88E,FBgn0038312,0.855833785,0.350351959
Cap-G,FBgn0259876,0.823296859,0.35036765
CG6951,FBgn0036959,0.116124587,0.350372822
Sec61alpha,FBgn0086357,0.76714935,0.350592323
Fdx1,FBgn0011769,0.570357962,0.350742391
CR43661,FBgn0263709,0.654970237,0.350787628
Cog7,FBgn0051040,0.073940255,0.351130868
ave,FBgn0050476,0.033964595,0.351843075
CG15556,FBgn0039821,0.058407563,0.351874471
tay,FBgn0260938,0.444923803,0.352044617
jim,FBgn0027339,0.670564389,0.352068983
CG12384,FBgn0033624,0.834665801,0.352126167
LUBEL,FBgn0031857,0.853838228,0.352178768
mys,FBgn0004657,0.892433275,0.352372781
P58IPK,FBgn0037718,0.809061011,0.352450564
Cyp4s3,FBgn0030615,0.379655163,0.352479635
CG1402,FBgn0029962,0.338445492,0.352637361
CG2650,FBgn0000092,0.016286767,0.353065472
Apc,FBgn0015589,0.522682511,0.353338083
Sas-4,FBgn0011020,0.129159193,0.353393925
CR44811,FBgn0266046,0.028003178,0.353508289
CR44268,FBgn0265254,0.528976131,0.353657115
Swim,FBgn0034709,0.941772098,0.35367802
CG5028,FBgn0039358,0.33958112,0.353713562
Drep1,FBgn0024732,0.389041102,0.353850392
CG1172,FBgn0264712,0.517947124,0.353973036
CG1105,FBgn0037465,0.295513757,0.354193222
CG1636,FBgn0030030,0.343493,0.354723201
CG43373,FBgn0263131,0.978375097,0.355054778
par-6,FBgn0026192,0.374726551,0.355302228
Uvrag,FBgn0032499,0.161894378,0.355695211
CG34056,FBgn0054056,0.034394694,0.355698942
Atac3,FBgn0052343,0.944993021,0.355946483
CG5348,FBgn0034156,0.798389501,0.356204664
CG42260,FBgn0259145,0.993618203,0.356386625
CG6175,FBgn0036152,0.630600267,0.356398192
CG31785,FBgn0051785,0.483476872,0.356412362
Vps16A,FBgn0285911,0.433684111,0.356458
pins,FBgn0040080,0.103329909,0.357328047
ect,FBgn0000451,0.464011089,0.358070721
sqz,FBgn0010768,0.217580635,0.358091689
Lnk,FBgn0028717,0.61229872,0.358155826
yata,FBgn0260990,0.06652047,0.358260514
mi,FBgn0261786,0.324553366,0.35831443
CG42367,FBgn0259713,0.774137013,0.358448996
CG14132,FBgn0040817,0.064878195,0.358863685
Spn42Dc,FBgn0033113,0.435169306,0.358864779
sev,FBgn0003366,0.680919863,0.358866153
bur,FBgn0000239,0.01485891,0.35919995
CG7009,FBgn0038861,0.10231029,0.359235011
CG32121,FBgn0052121,0.129091599,0.359701488
Grd,FBgn0001134,0.341525651,0.359937566
sut2,FBgn0028562,0.155224462,0.360109709
Cyp28a5,FBgn0028940,0.990199296,0.360119046
CG9896,FBgn0034808,0.901030393,0.360128289
Cyp4d1,FBgn0005670,0.000801157,0.360158619
kni,FBgn0001320,0.913701786,0.360288838
Kat60,FBgn0040208,0.226034005,0.360478201
bond,FBgn0260942,0.146279444,0.360483305
CG4592,FBgn0032162,0.228903118,0.360642784
CG33107,FBgn0053107,0.509920893,0.360725055
Cbp20,FBgn0022943,0.289973001,0.36086826
CG5287,FBgn0032477,0.041482307,0.360901564
oys,FBgn0033476,0.910677293,0.360993132
RpL41,FBgn0066084,0.537551131,0.36109448
TER94,FBgn0261014,0.058072737,0.361128825
Rcd5,FBgn0263832,0.997265723,0.361186905
ND-B14.7,FBgn0034576,0.485680696,0.361655227
CG5953,FBgn0032587,0.732979843,0.362145762
mRpL55,FBgn0038678,0.908649365,0.362547577
Vps8,FBgn0035704,0.540481684,0.363106261
dx,FBgn0000524,0.617496547,0.363181224
CG6443,FBgn0032290,0.612152036,0.363462672
pigs,FBgn0029881,0.826066392,0.363521775
Tace,FBgn0039734,0.334665194,0.364050867
Kah,FBgn0035144,0.936287814,0.364112173
CG15431,FBgn0031602,0.305322029,0.364199415
CG33307,FBgn0053307,0.457934504,0.364227286
Shawl,FBgn0085395,0.514202075,0.364397536
GAA1,FBgn0029818,0.083316418,0.364404534
CG7970,FBgn0035252,0.139382275,0.364920609
spin,FBgn0086676,0.851973863,0.364945167
Act79B,FBgn0000045,0.765560324,0.365088702
CG30108,FBgn0050108,0.289495949,0.365341091
CG33298,FBgn0032120,0.936931084,0.36547363
Cpr76Bd,FBgn0036881,0.10876951,0.365931345
Cpr62Bb,FBgn0035280,0.014969693,0.366183948
hig,FBgn0010114,0.662174599,0.366294766
Traf4,FBgn0026319,0.643077313,0.366773177
CG15894,FBgn0029864,0.233986893,0.36679717
Nos,FBgn0011676,0.826656173,0.366843237
Lig4,FBgn0030506,0.43316739,0.36688479
CG8630,FBgn0038130,0.025498069,0.367000091
CG1814,FBgn0033426,0.927183581,0.367075817
MTF-1,FBgn0040305,0.925014822,0.367373561
CG9313,FBgn0034566,0.460479914,0.367499537
CG2685,FBgn0024998,0.913172345,0.367546348
CG1979,FBgn0026563,0.257140959,0.367606717
GILT3,FBgn0039098,0.98836601,0.367683089
CG7332,FBgn0030973,0.25140097,0.367854568
dl,FBgn0260632,0.98362214,0.368274487
CG44153,FBgn0265002,0.699693245,0.368335778
CG4766,FBgn0027546,0.897893254,0.368892761
CG3253,FBgn0041706,0.683849873,0.368995202
Cht6,FBgn0263132,8.51079E-05,0.36910277
CG7384,FBgn0032262,0.050042335,0.369497553
erm,FBgn0031375,0.212101016,0.370276789
ade5,FBgn0020513,0.986580644,0.370321019
CG2453,FBgn0030460,0.392056473,0.370863751
Egm,FBgn0086712,0.445054372,0.371212707
Mkrn1,FBgn0029152,0.893230319,0.371296194
CG8516,FBgn0037757,0.412431427,0.371343714
CHOp24,FBgn0029709,0.826541868,0.371620563
RasGAP1,FBgn0004390,0.638122929,0.371985498
GATAd,FBgn0032223,0.662438693,0.371986322
PEK,FBgn0037327,0.156772771,0.372040169
c12.2,FBgn0040234,0.216106807,0.372083829
CG2924,FBgn0023528,0.361553494,0.372315954
Nct,FBgn0039234,0.29497729,0.37239282
Uhg4,FBgn0083124,0.91149329,0.372484238
CG5004,FBgn0260748,0.310253257,0.372618523
CG11414,FBgn0035024,0.973986003,0.3727707
CG14562,FBgn0037142,0.314021701,0.372999531
deltaCOP,FBgn0028969,0.995146274,0.373173018
ens,FBgn0264693,0.775818479,0.373584053
CG10184,FBgn0039094,0.44716062,0.373747655
TAF1B,FBgn0037792,0.475108428,0.374023019
Drl-2,FBgn0033791,0.920914782,0.374056142
phtf,FBgn0028579,0.026743532,0.374142651
Uch,FBgn0010288,0.940602456,0.374352888
l(1)G0334,FBgn0028325,0.940602456,0.374352888
Trap1,FBgn0026761,0.336739502,0.374889337
CG34367,FBgn0085396,0.282223784,0.375074735
CG8854,FBgn0033702,0.919857348,0.37521093
e(y)3,FBgn0087008,0.328453022,0.375349687
IntS8,FBgn0025830,0.38513345,0.375371488
Eip63E,FBgn0005640,0.80432017,0.375442791
eEF1gamma,FBgn0029176,0.557035777,0.375493494
CR46006,FBgn0267668,0.031266739,0.375538547
CG14215,FBgn0031052,0.916187858,0.37573628
Prp19,FBgn0261119,0.477502635,0.375969612
CG10973,FBgn0036306,0.122490718,0.376025622
CG17193,FBgn0040571,0.129047547,0.376164767
Trh,FBgn0035187,0.036846156,0.376360023
Sec16,FBgn0052654,0.064362011,0.376826423
CG9471,FBgn0037749,0.552043668,0.377070836
aralar1,FBgn0028646,0.716857018,0.377225777
Rab3-GEF,FBgn0030613,0.994801383,0.377244645
vimar,FBgn0022960,0.84536118,0.377531377
Idgf3,FBgn0020414,0.029018761,0.377782698
apt,FBgn0015903,0.440210334,0.377907367
sog,FBgn0003463,0.060824812,0.377917781
CG6428,FBgn0029689,0.025585412,0.378351225
CG12391,FBgn0033581,0.06797415,0.378604624
CG5618,FBgn0036975,0.815932331,0.378670933
CG43759,FBgn0264090,0.510021325,0.378840509
Ptp4E,FBgn0004368,0.030108106,0.378915606
Ance,FBgn0012037,0.71661263,0.379015292
CG15673,FBgn0034639,0.241817145,0.379037449
CR18217,FBgn0036646,0.379285869,0.37909637
shn,FBgn0003396,0.177339579,0.379286579
Rrp42,FBgn0034065,0.087518971,0.379398616
Cdc27,FBgn0012058,0.348745926,0.379624182
CG31705,FBgn0028490,0.147826599,0.379655969
CG16717,FBgn0036028,0.582380318,0.379728486
CG13185,FBgn0033661,0.02126743,0.379759782
Rh6,FBgn0019940,0.057721428,0.379775552
trc,FBgn0003744,0.756459299,0.379882967
egr,FBgn0033483,0.183446797,0.379958005
ras,FBgn0003204,0.395904368,0.380023043
CG10077,FBgn0035720,0.395904368,0.380023043
sip1,FBgn0024191,0.539078154,0.380059888
CG33226,FBgn0069056,0.258009712,0.380138852
Liprin-beta,FBgn0036376,0.787838888,0.38029544
Kank,FBgn0027596,0.663590465,0.380312543
kz,FBgn0001330,0.336298035,0.380811066
elav,FBgn0260400,0.504952654,0.381623834
CG31251,FBgn0051251,0.954302368,0.381811071
CG5746,FBgn0039186,0.910010286,0.382284267
CG2091,FBgn0037372,0.084941375,0.382300277
CG14431,FBgn0029922,0.681285068,0.382629159
twf,FBgn0038206,0.443343618,0.382730541
beat-Vb,FBgn0038092,0.085873639,0.383086518
CG8199,FBgn0037709,0.849127395,0.383140008
rogdi,FBgn0036697,0.757770436,0.383163578
CG30183,FBgn0050183,0.029457769,0.383177511
CG33056,FBgn0053056,0.443864189,0.383544527
CG1603,FBgn0033185,0.165388453,0.383884757
Tl,FBgn0262473,0.318022189,0.384035052
CG7497,FBgn0036742,0.359638225,0.384914193
CG1910,FBgn0022349,0.002096261,0.385171241
Sdr,FBgn0038279,0.446011527,0.385402833
CG7458,FBgn0037144,0.620427896,0.385642454
CG11221,FBgn0031855,0.007022487,0.386192169
La,FBgn0011638,0.841476055,0.386243803
CG3191,FBgn0023525,0.640696477,0.386704026
CR45029,FBgn0266389,0.783192171,0.386787903
CCHa1-R,FBgn0050106,0.270466939,0.386816481
CG17211,FBgn0032414,0.71749983,0.386950461
Ada2b,FBgn0037555,0.136043218,0.387163201
Unc-89,FBgn0053519,0.905232816,0.387167044
CG9837,FBgn0037635,0.011075373,0.387305646
TMS1,FBgn0028399,0.572803515,0.387596464
CG30069,FBgn0050069,8.27119E-05,0.387612511
CG10903,FBgn0037543,0.07092566,0.387668593
Lrp4,FBgn0030706,0.598530254,0.38788078
CG3156,FBgn0023536,0.186946592,0.388063655
cta,FBgn0000384,0.540239473,0.388086494
Dsor1,FBgn0010269,0.584106614,0.389041953
trsn,FBgn0033528,0.564809738,0.389098024
vari,FBgn0250785,0.000183971,0.389133139
CG6867,FBgn0030887,0.310193353,0.389540221
CG11906,FBgn0034425,0.97422996,0.389907277
Gas41,FBgn0031873,0.580360395,0.390266205
Gasp,FBgn0026077,0.083768834,0.390638134
Chchd3,FBgn0010808,0.986887273,0.390930501
lolal,FBgn0022238,0.239935735,0.391096772
Cirl,FBgn0033313,0.700767668,0.391195482
CG10660,FBgn0036288,0.807148619,0.391703116
CG4462,FBgn0038752,0.615593786,0.391750893
CG4733,FBgn0038744,0.799166157,0.392135356
CG5945,FBgn0032494,0.562308641,0.392267499
ash2,FBgn0000139,0.954577124,0.39235221
CG43729,FBgn0263980,0.819890107,0.392425004
Ssk,FBgn0036945,0.652512875,0.392989118
Max,FBgn0017578,0.062621932,0.39301763
Su(var)3-7,FBgn0003598,0.743727562,0.393253593
CG32104,FBgn0052104,0.649721136,0.393920302
P32,FBgn0034259,0.893624754,0.393990901
tweek,FBgn0261671,1.08558E-05,0.394226197
pgant5,FBgn0031681,0.687159228,0.394783985
CG4074,FBgn0037017,0.165400615,0.39487902
obe,FBgn0038344,0.057935616,0.395032087
ca,FBgn0000247,0.04718387,0.395770967
CG8888,FBgn0033679,0.854641432,0.39581797
CG5180,FBgn0043457,0.196767727,0.396298153
eIF2Balpha,FBgn0039726,0.083608498,0.396968628
CG12772,FBgn0030055,0.023829752,0.396990648
Obp49a,FBgn0050052,0.821594703,0.397262242
Tsp42Ee,FBgn0029506,0.908895733,0.397385356
dlp,FBgn0041604,0.887323701,0.398018438
CG18764,FBgn0042205,0.13023525,0.398071997
tow,FBgn0035719,0.193934194,0.39816036
PICK1,FBgn0032447,0.692969593,0.398223212
Tsp47F,FBgn0033629,0.091750567,0.398480218
RpL27A,FBgn0285948,0.452175085,0.398598082
LBR,FBgn0034657,0.659204855,0.398669393
Phax,FBgn0033380,0.371732664,0.398805233
Rme-8,FBgn0015477,0.576406017,0.398959453
MtnE,FBgn0262146,0.585039615,0.399144157
MICU1,FBgn0031893,0.096936114,0.399308544
RpI135,FBgn0003278,0.008034998,0.399389793
Frl,FBgn0267795,0.304647099,0.39954279
unc-13,FBgn0025726,0.862747034,0.399725166
CG31633,FBgn0051633,0.142232161,0.399851967
MBD-R2,FBgn0038016,0.256618786,0.400045625
CG6638,FBgn0035911,0.151882779,0.400072091
CG8665,FBgn0032945,0.334280842,0.400116354
GluRIIC,FBgn0046113,0.45814554,0.400533021
CG17777,FBgn0040900,0.370697163,0.400636313
mRpL38,FBgn0030552,0.800280896,0.400795341
Tcs3,FBgn0283681,0.041546931,0.400836781
CG2846,FBgn0014930,0.054943154,0.400859455
PlexB,FBgn0025740,0.054943154,0.400859455
CG11137,FBgn0037199,0.054943154,0.400859455
LRR,FBgn0033212,0.875457887,0.400934877
CR44317,FBgn0265376,0.634296657,0.401074483
nord,FBgn0050418,0.36747593,0.40134031
Hakai,FBgn0032812,0.056927729,0.401853861
stj,FBgn0261041,0.937217322,0.402167028
Ns3,FBgn0266284,0.591620638,0.402410881
CG8249,FBgn0034045,0.021208106,0.402634507
wde,FBgn0027499,0.142889585,0.402696909
CG12025,FBgn0035285,0.163675539,0.402724908
chinmo,FBgn0086758,0.904457547,0.402837284
SmydA-9,FBgn0030102,0.631195147,0.402925776
Patronin,FBgn0263197,0.965299762,0.403216437
Reg-2,FBgn0016715,0.335366775,0.403354188
L2HGDH,FBgn0032729,0.289682793,0.403519383
Su(var)3-3,FBgn0260397,0.160866794,0.403677664
CR18166,FBgn0029526,0.774264292,0.403846573
Gcn2,FBgn0019990,0.998036184,0.403860049
sNPF-R,FBgn0036934,0.616080481,0.404229392
Act88F,FBgn0000047,0.14497325,0.404252049
FRG1,FBgn0036964,0.51249548,0.404324112
CR32111,FBgn0052111,0.018723353,0.404720091
spirit,FBgn0030051,0.036681483,0.405059862
Cht7,FBgn0035398,0.455161361,0.405212619
pont,FBgn0040078,0.017646711,0.405516224
CG15478,FBgn0029955,0.930796369,0.405685755
Set1,FBgn0040022,0.087316344,0.405863432
CG16972,FBgn0032481,0.144045428,0.406008935
CG31156,FBgn0051156,0.564643641,0.406025838
drosha,FBgn0026722,0.195378386,0.40604782
CG8159,FBgn0037619,0.466970095,0.406134833
Csl4,FBgn0032346,0.906368598,0.406703778
CG11505,FBgn0035424,0.920956841,0.407547623
Cisd2,FBgn0062442,0.140937909,0.40767414
5PtaseI,FBgn0259178,0.696496464,0.407708202
CG43219,FBgn0262855,0.100256976,0.407949684
Rgk2,FBgn0085419,0.874614131,0.40803339
CG10289,FBgn0035688,0.982819251,0.408043573
CG11594,FBgn0035484,0.999192155,0.408240394
Ced-12,FBgn0032409,0.169544891,0.408335136
GAPcenA,FBgn0035879,0.125134156,0.40875071
pr,FBgn0003141,0.110422477,0.408861831
RpS5b,FBgn0038277,0.350635284,0.40889178
CG6254,FBgn0037794,0.659489701,0.408893181
AGO1,FBgn0262739,0.293991464,0.409292992
veli,FBgn0039269,0.55804177,0.409367256
CG12814,FBgn0037796,0.084798064,0.410426689
CG7492,FBgn0035807,0.863241343,0.410532483
CG30026,FBgn0050026,0.124309256,0.410537287
FoxP,FBgn0262477,0.427526521,0.410732268
CR45180,FBgn0266690,0.205879291,0.410755714
CG8080,FBgn0033373,0.580822712,0.410835319
CG6674,FBgn0036063,0.18072237,0.41085044
eas,FBgn0000536,0.007051972,0.410879248
CG31678,FBgn0051678,0.513820834,0.410939812
AstC-R2,FBgn0036789,0.693097112,0.41118082
AdSS,FBgn0027493,0.996091244,0.411365709
CG32647,FBgn0052647,0.885142235,0.411799722
CG31643,FBgn0051643,0.485381699,0.411863263
tey,FBgn0036899,0.695494837,0.412038063
cana,FBgn0040233,0.9652242,0.412205163
CG17549,FBgn0032774,0.80329027,0.412215967
Ncc69,FBgn0036279,0.446525899,0.412518733
Vps52,FBgn0031710,0.868084034,0.413021143
CG7778,FBgn0032025,0.382284151,0.413036916
CG6805,FBgn0034179,0.12745187,0.413197051
Liprin-alpha,FBgn0046704,0.942799311,0.413524939
Obp56a,FBgn0034468,0.028142213,0.41357398
CG10555,FBgn0030034,0.149862991,0.413734492
CG14401,FBgn0032900,0.69411619,0.413784985
Pex13,FBgn0033812,0.429043579,0.413790727
CG2157,FBgn0030244,0.014267153,0.41402699
hbn,FBgn0008636,0.829585733,0.414186053
Reck,FBgn0036463,0.612293114,0.414324493
Ady43A,FBgn0026602,0.329203425,0.414641097
CG13367,FBgn0025634,0.000928123,0.414689075
Hr39,FBgn0261239,0.191255106,0.414790712
Tom20,FBgn0036928,0.410958265,0.41499116
Diap2,FBgn0015247,0.619422025,0.415112402
Gdap1,FBgn0035587,0.338522974,0.415122028
CG7504,FBgn0035842,0.767312143,0.415122738
CG16798,FBgn0032856,0.693125337,0.415263379
CG14022,FBgn0031700,0.018812305,0.415299422
tub,FBgn0003882,0.086926944,0.41538993
Sodh-1,FBgn0024289,0.429050496,0.41546439
hebe,FBgn0033448,0.992462899,0.415579115
SWIP,FBgn0030739,0.554093195,0.415943236
CG9154,FBgn0031777,0.496232755,0.416016951
Etf-QO,FBgn0033465,0.051629315,0.416045024
l(3)neo38,FBgn0265276,0.68088669,0.416082382
CG42495,FBgn0260027,0.627798955,0.416335538
Dyb,FBgn0033739,0.141039093,0.416463662
Dbx,FBgn0261723,0.864503799,0.416651643
Rtf1,FBgn0034722,0.410970513,0.416676009
CG17568,FBgn0032763,0.119628952,0.416694301
Pex2,FBgn0035876,0.70965347,0.416751502
CG44085,FBgn0264894,0.723753366,0.417135277
CG2202,FBgn0030240,0.289949277,0.417388856
porin,FBgn0004363,0.007395674,0.417487899
mal,FBgn0002641,0.274401737,0.417984054
CG9631,FBgn0027563,0.033009864,0.41826183
CG1116,FBgn0037297,0.398417563,0.418347898
MESK2,FBgn0043070,0.696208812,0.418466009
mim,FBgn0053558,0.366323876,0.418506074
Obp83b,FBgn0010403,0.030319532,0.418570706
CG42674,FBgn0261556,0.00388658,0.418649842
CG43071,FBgn0262481,0.820906976,0.4186672
isoQC,FBgn0036999,0.069218895,0.418868189
CG3534,FBgn0038463,0.517715154,0.418988015
CG7668,FBgn0036929,0.525658277,0.419834503
Sesn,FBgn0034897,0.444348046,0.419900897
AlkB,FBgn0065035,0.450505553,0.419931268
CG32260,FBgn0052260,0.29990489,0.420148364
CG12194,FBgn0031636,0.127771386,0.420659143
Cp190,FBgn0000283,0.005922397,0.421163158
CG16903,FBgn0040394,0.965932241,0.421215416
CG9302,FBgn0032514,0.742206347,0.421489472
Spn43Ad,FBgn0044011,0.254479508,0.421526713
CG42319,FBgn0259219,0.49287135,0.421836157
CG12333,FBgn0038617,0.306546292,0.421934048
Cad89D,FBgn0038439,0.689158705,0.422060279
Spf45,FBgn0086683,0.74551519,0.422143394
CG12913,FBgn0033500,0.443913101,0.422408002
CG4854,FBgn0038766,0.007236249,0.422872204
CG7466,FBgn0031981,0.245857502,0.423087505
bai,FBgn0045866,0.41797733,0.423163565
CG43707,FBgn0263846,0.165949554,0.423215441
scra,FBgn0261385,0.53743435,0.423453243
AdamTS-A,FBgn0038341,0.115500445,0.42357694
CG42542,FBgn0260659,0.839375228,0.423901861
CG5177,FBgn0031908,0.870566221,0.424087475
CCT1,FBgn0003676,0.569642912,0.424134597
Synj,FBgn0034691,0.200640994,0.424196778
RpI1,FBgn0019938,0.020529406,0.424799419
SP1029,FBgn0263236,0.942737837,0.425186188
CG5902,FBgn0039136,0.996291104,0.425514268
AP-1sigma,FBgn0039132,0.503139821,0.425691315
put,FBgn0003169,0.981927698,0.426113353
A16,FBgn0028965,0.371921969,0.426218151
CG42676,FBgn0261562,0.715266809,0.426391043
wit,FBgn0024179,0.477734052,0.426407261
CG3257,FBgn0034978,0.550485396,0.426445404
ana,FBgn0011746,0.350232342,0.426945367
CG13325,FBgn0033792,0.009105761,0.427161181
CG13086,FBgn0032770,0.429255552,0.42721644
CG11920,FBgn0039274,2.82477E-05,0.427925712
RpL14,FBgn0017579,0.927058779,0.428011574
CG10514,FBgn0039312,0.4817025,0.428227971
CG4186,FBgn0040634,0.30904607,0.428308232
CG12267,FBgn0038057,0.517156111,0.428325686
l(2)05287,FBgn0284251,0.361925912,0.428460697
elgi,FBgn0283649,0.229167435,0.428814814
CG15744,FBgn0030466,0.919622411,0.429178228
CG31729,FBgn0051729,0.300545117,0.429437014
Rpn11,FBgn0028694,0.107692238,0.429773657
CG11696,FBgn0030314,0.951258082,0.429904073
Ns2,FBgn0034243,0.530419507,0.430099503
Wnt10,FBgn0031903,0.673712721,0.430208177
fat-spondin,FBgn0026721,0.148449732,0.430280011
BBS8,FBgn0031255,0.540029091,0.430417224
B-H2,FBgn0004854,0.075272247,0.430490148
Uev1A,FBgn0035601,5.70E-06,0.430585856
